List of intended duplicates:
137-8204510 Rafael Blind Elizabeth
789-5726904 Rachel Cardenas Carl
237-7626142 Patricia Hernandez Joanne
184-9855948 Roxana Paetzold Monique
315-8187881 Efrain Gilliam Peter
160-6850635 Jeff Roja James
724-8294156 Bryan Mervis Stephanie
620-6990392 Mary Tracey Helga
118-6088288 Eric Harrison Florence
443-9512420 Alesha Everhart Linda
133-0384998 Rebecca Causey Darlene
473-7841089 Roy Bale Jacqueline
953-9802928 Lois Hanna Silas
997-0240942 Bob Ruel William
857-5090447 Nicole Jones Gino
810-4925390 Misty Monroe Andrew
071-4556395 Elisabeth Wright Carol
673-7336340 Melvin Cahee Patrick
940-9863424 David Johnson Denver
185-0328044 Opal Collins Robin
859-3957927 Frances Riordan Edward
956-1626337 Jeanette Fox Ernie
901-2186213 Levi Johnson Christopher
894-0892849 Olympia Ward Gale
650-2488368 Marvin Johnson John
026-7769164 Robin Trent Edward
923-8174677 Arturo Clark Keith
556-1109065 Brittany But Emanuel
547-2782473 Ronald Roemmich Dennis
580-5747395 Whitney Weaver Chase
264-1479061 Helen Martorello Margarita
830-7576716 Kristen Kelly Leo
234-7423740 Nancy Davanzo Amber
946-9315670 David Rabago Paul
265-6840579 John Margolis Mary
798-2232028 William Orozco Jerry
481-0418104 Denice Roberts Jonnie
825-3692057 Louise Loughner James
415-8575909 Joseph Berner Ryan
222-7967964 Phillip Zuhlke Jan
099-2884728 Russell Bale Susan
645-6237871 William Angelovich Kelvin
124-2503969 Lisa Edmonds Edward
917-9333379 Rosanne Moore Jodie
065-4901404 Janie Lane Josephine
370-3169665 Elizabeth Phifer Lisa
232-4226596 Shirley Bishop Linda
049-7237678 Jose Berkley Lore
240-8850897 Jason Sylvain Tameka
272-9507757 James Clay Connie
002-5100288 Susan Millay Beatrice
758-4077512 Lana Heckstall John
793-1336312 Troy Mallard Richard
521-7293327 Jimmy Wilkerson Candace
912-9534130 Robert Williams Barbara
599-3592042 Geraldine Ricks Benito
317-2103594 Christine Livesay Jamal
931-8671633 Joseph Richardson Sam
018-2719405 Herbert Lee Bob
900-6838402 Geraldine Klinger Taylor
184-0017404 Brian Bennett Joe
262-0911574 Margie Long Susan
709-1207331 Alicia Smith Carol
786-4402043 Robert Turner Larry
192-3957645 Rebecca Martin Eric
265-1094815 William Holt Jeffery
636-0383781 Nancy Dansby Jason
812-8219029 Shellie West Jeffery
818-2518577 Glen Hall Marjorie
190-7758706 Cynthia Mason Lisa
320-7796470 Lora Castrey Robert
238-4954872 Alice Arnold Victoria
868-4343837 David Noland Kimberly
705-0715611 Nathan Evans Marlene
128-4209610 David Nickerson Lawrence
